Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.112687,,Insert,46816715,0,A,4000,37617,G,
0.1127,,Insert,46816735,0,A,8000,37616,G,
0.112786,,Insert,46816779,0,A,1000,37616,G,
0.112894,,Cancel,46816639,,,-1000,,,
0.112897,,Cancel,46816779,,,-1000,,,
0.112897,,Insert,46816831,0,A,1000,37615,G,
0.112917,,Cancel,46814167,,,-1000,,,
0.112917,,Insert,46816839,0,B,1000,34928,G,
0.112925,,Insert,46816843,0,A,3000,37617,G,
0.112927,,Cancel,46816735,,,-8000,,,
0.112953,,Insert,46816871,0,A,1000,37615,G,
0.112953,,Cancel,46805323,,,-1000,,,
0.112986,,Insert,46816891,0,B,1000,37614,G,
0.113022,,Insert,46816923,0,B,1000,37611,G,
0.113038,,Cancel,46814127,,,-1000,,,
0.113038,,Insert,46816935,0,A,1000,40197,G,
0.113069,,Insert,46816947,0,A,1000,37615,G,
0.113314,,Cancel,46816831,,,-1000,,,
0.113314,,Insert,46817023,0,B,3000,37606,G,
0.114316,,Insert,46817219,0,A,3000,37637,G,
0.114394,,Insert,46817235,0,A,3000,37637,G,
0.114625,,Cancel,46816891,,,-1000,,,
0.11475,,Insert,46817347,0,B,1000,37614,G,
0.11527,,Cancel,46817347,,,-1000,,,
0.115701,,Insert,46817487,0,B,1000,37614,G,
0.117063,,Cancel,46816923,,,-1000,,,
0.117116,,Cancel,46817487,,,-1000,,,
0.117395,,Insert,46817871,0,B,3000,37606,G,
0.11782,,Insert,46817915,0,B,1000,37614,G,
0.117916,,Cancel,46817915,,,-1000,,,
0.119259,,Insert,46818291,0,B,1000,37613,G,
0.119272,,Insert,46818307,0,B,1000,37613,G,
0.119322,,Insert,46818327,0,B,3000,37605,G,
0.119327,,Insert,46818331,0,A,3000,37636,G,
0.119368,,Cancel,46818307,,,-1000,,,
0.119396,,Cancel,46816839,,,-1000,,,
0.119396,,Insert,46818379,0,B,1000,34927,G,
0.119397,,Insert,46818383,0,B,1000,37610,G,
0.120085,,Insert,46818535,0,B,1000,37613,G,
0.120399,,Insert,46818623,0,B,3000,37605,G,
0.120401,,Insert,46818627,0,A,3000,37636,G,
0.120417,,Cancel,46814055,,,-50,,,
0.120425,,Insert,46818631,0,B,1000,37614,G,
0.120527,,Cancel,46818379,,,-1000,,,
0.120527,,Insert,46818635,0,B,1000,34928,G,
0.12162,,Cancel,46818631,,,-1000,,,
0.121732,,Insert,46818863,0,B,1000,37614,G,
0.122486,,Insert,46819115,0,B,90,37614,G,
0.122536,,Insert,46819135,0,B,1000,37611,G,
0.122573,,Insert,46819151,0,B,90,37614,G,
0.122621,,Insert,46819179,0,B,90,37614,G,
0.122682,,Insert,1267484,0,B,1000,37615,F,
0.122682,,Insert,1267485,0,B,1000,37615,F,
0.122689,,Insert,46819207,0,A,1000,37631,G,
0.122701,,Insert,46819215,0,B,1000,37614,G,
0.122706,,Insert,46819219,0,B,360,37614,G,
0.12274,,Insert,46819239,0,B,1000,37614,G,
0.122793,,Insert,46819255,0,B,1000,37614,G,
0.122955,,Insert,46819299,0,B,1000,37614,G,
0.122978,,Insert,46819303,0,B,100,37614,G,
0.122978,,Insert,46819307,0,B,1000,37614,G,
0.122979,,Insert,46819311,0,B,60,37614,G,
0.123005,,Cancel,46819207,,,-1000,,,
0.123086,,Cancel,46819303,,,-100,,,
0.123128,,Insert,46819375,0,B,80,37614,G,
0.123339,,Cancel,46819307,,,-1000,,,
0.123382,,Cancel,46816715,,,-4000,,,
0.123388,,Insert,46819463,0,B,100,37614,G,
0.123407,,Insert,46819467,0,B,1000,37615,G,
0.12342,,Cancel,46819215,,,-1000,,,
0.12342,,Insert,46819475,0,B,1000,37615,G,
0.123423,,Cancel,46819255,,,-1000,,,
0.123423,,Insert,46819479,0,B,1000,37615,G,
0.123423,,Cancel,46819299,,,-1000,,,
0.123423,,Insert,46819483,0,B,1000,37615,G,
0.123436,,Insert,46819491,0,B,270,37615,G,
0.123463,,Cancel,46819483,,,-1000,,,
0.123472,,Cancel,46814199,,,-1000,,,
